"det_Name","det_Team","Age","G","AB","PA","wRC+","playerid"
"Christian Yelich","Brewers","27","130","489","580","174","11477"
"Mike Trout","Angels","27","134","470","600","180","10155"
"Yordan Alvarez","Astros","22","87","313","369","178","19556"
"Alex Bregman","Astros","25","156","554","690","168","17678"
"Nelson Cruz","Twins","38","120","454","521","163","2434"
"David Freese","Dodgers","36","79","162","186","162","9549"
"Cody Bellinger","Dodgers","23","156","558","660","162","15998"
"Anthony Rendon","Nationals","29","146","545","646","154","12861"
"Ketel Marte","Diamondbacks","25","144","569","628","150","13613"
"Mitch Garver","Twins","28","93","311","359","155","15161"
"Joey Gallo","Rangers","25","70","241","297","144","14128"
"George Springer","Astros","29","122","479","556","156","12856"
"Howie Kendrick","Nationals","35","121","334","370","146","4229"
"Fernando Tatis Jr.","Padres","20","84","334","372","150","19709"
"Juan Soto","Nationals","20","150","542","659","142","20123"
"Nolan Arenado","Rockies","28","155","588","662","128","9777"
"Anthony Rizzo","Cubs","29","146","512","613","141","3473"
"Xander Bogaerts","Red Sox","26","155","614","698","141","12161"
"Keston Hiura","Brewers","22","84","314","348","139","20003"
"Charlie Blackmon","Rockies","32","140","580","634","125","7859"
"Freddie Freeman","Braves","29","158","597","692","138","5361"
"J.D. Martinez","Red Sox","31","146","575","657","139","6184"
"Mark Canha","Athletics","30","126","410","497","146","11445"
"Jeff McNeil","Mets","27","133","510","567","143","15362"
"Bo Bichette","Blue Jays","21","46","196","212","142","19612"
"Peter Alonso","Mets","24","161","597","693","143","19251"
"Jordan Luplow","Indians","25","85","225","261","137","16424"
"Aaron Judge","Yankees","27","102","378","447","141","15640"
"Eugenio Suarez","Reds","27","159","575","662","133","12552"
"Carlos Correa","Astros","24","75","280","321","143","14162"
"Mookie Betts","Red Sox","26","150","597","706","135","13611"
"Trevor Story","Rockies","26","145","588","656","121","12564"
"Carlos Santana","Indians","33","158","573","686","135","2396"
"Austin Meadows","Rays","24","138","530","591","142","15672"
"Kris Bryant","Cubs","27","147","543","634","135","15429"
"Yoan Moncada","White Sox","24","132","511","559","141","17232"
"Miguel Sano","Twins","26","105","380","439","137","12164"
"Josh Bell","Pirates","26","143","527","613","135","13145"
"Jorge Soler","Royals","27","162","589","679","136","14221"
"Josh Donaldson","Braves","33","155","549","659","132","5038"
"Hunter Pence","Rangers","36","83","286","316","128","8252"
"Rafael Devers","Red Sox","22","156","647","702","132","17350"
"DJ LeMahieu","Yankees","30","145","602","655","136","9874"
"Nick Solak","Rangers","24","33","116","135","126","19294"
"Jose Altuve","Astros","29","124","500","548","138","5417"
"J.D. Davis","Mets","26","140","410","453","136","16219"
"Trey Mancini","Orioles","27","154","602","679","132","15149"
"Marcus Semien","Athletics","28","162","657","747","137","12533"
"Max Muncy","Dodgers","28","141","487","589","134","13301"
"Mike Ford","Yankees","26","50","143","163","134","15585"
"Matt Joyce","Braves","34","129","200","238","128","3353"
"Bryan Reynolds","Pirates","24","134","491","546","131","19326"
"Justin Turner","Dodgers","34","135","479","549","132","5235"
"Giovanny Urshela","Yankees","27","132","442","476","132","10681"
"Ronald Acuna Jr.","Braves","21","156","626","715","126","18401"
"Will Smith","Dodgers","24","54","170","196","132","19197"
"Dominic Smith","Mets","24","89","177","197","133","15653"
"Willson Contreras","Cubs","27","105","360","409","127","11609"
"Matt Olson","Athletics","25","127","483","547","134","14344"
"Ian Happ","Cubs","24","58","140","156","127","17919"
"Brad Miller","- - -","29","79","154","170","126","12775"
"Michael Brantley","Astros","32","148","575","637","133","4106"
"Corey Dickerson","- - -","30","78","260","279","127","10762"
"Bryce Harper","Phillies","26","157","573","682","125","11579"
"Yuli Gurriel","Astros","35","144","564","612","132","19198"
"David Dahl","Rockies","25","100","374","413","110","13744"
"Reese McGuire","Blue Jays","24","30","97","105","128","15674"
"Mike Tauchman","Yankees","28","87","260","296","128","15274"
"Tim Anderson","White Sox","26","123","498","518","130","15172"
"Cameron Maybin","Yankees","32","82","239","269","127","5223"
"Edwin Encarnacion","- - -","36","109","418","486","129","2151"
"Joc Pederson","Dodgers","27","149","450","514","127","11899"
"Yasmani Grandal","Brewers","30","153","513","632","121","11368"
"Luis Arraez","Twins","22","92","326","366","125","18568"
